month,year,Day/Month/Year,overall_change_avg,positive_change_avg,negative_change_avg,overall_change_std,positive_change_std,negative_change_std
December,2016,1/12/2016,1.75757575758,1.03448275862,1.03703703704,4.50945339045,2.78521662156,3.85843454613
March,2012,1/3/2012,1.02325581395,0.710526315789,0.62962962963,1.79778121768,1.33589896279,0.986882414405
April,2012,1/4/2012,1.02380952381,0.727272727273,0.703703703704,1.65454777648,1.16183572804,1.27118535568
January,2005,1/1/2005,1.15,0.7,0.833333333333,1.73997126413,1.26885775404,1.29314431608
June,2009,1/6/2009,1.03703703704,0.764705882353,0.789473684211,1.50262687223,1.05882352941,1.15069532153
August,2008,1/8/2008,1.15,0.733333333333,0.75,1.98179211826,1.59024805892,1.25
October,2015,1/10/2015,1.51851851852,0.955555555556,1.02631578947,3.65523845673,2.32814237399,3.08209465773
July,2014,1/7/2014,1.16363636364,0.804347826087,0.818181818182,2.44029533506,1.72726933548,1.58505416129
August,2005,1/8/2005,1.21951219512,0.757575757576,0.833333333333,2.21427954613,1.30338261622,1.84541473809
October,2007,1/10/2007,0.935483870968,0.68,0.666666666667,1.29354436489,0.968297474953,0.942809041582
October,2000,1/10/2000,1.0243902439,0.722222222222,0.727272727273,1.84109994798,1.30407717715,1.3876670475
February,2011,1/2/2011,1.25641025641,0.785714285714,0.818181818182,1.69036407424,1.47253772343,1.16656827606
December,2009,1/12/2009,1.05,0.821428571429,0.655172413793,1.74570902501,1.46515653548,1.09153046837
November,2002,1/11/2002,1.18181818182,0.757575757576,0.75,2.09189699982,1.349080563,1.23322071558
September,2008,1/9/2008,1.02941176471,0.703703703704,0.695652173913,1.72328847945,1.2417077492,0.952560969574
May,2006,1/5/2006,0.896551724138,0.590909090909,0.684210526316,1.34791864039,0.717260629003,1.25876428875
March,2001,1/3/2001,1.45283018868,1.02564102564,0.880952380952,2.73734506918,2.27006358758,1.841355362
June,2003,1/6/2003,1.15555555556,0.75,0.714285714286,2.1286986693,1.23322071558,1.405528443
