Country,Month,Year,Average Policy Change, Standard Deviation
USA (EOIR),November,2010,-0.00187240637083,0.0992968442057
Finland,November,2010,-0.0374856876845,0.150852069328
Sweden,November,2010,0.00316762305608,0.0679420415793
Australia,November,2010,0.0155351133713,0.11051560655
Bulgaria,November,2010,0.000722606081348,0.00283631345192
Romania,November,2010,0.00614393527801,0.0257976124825
Czech Rep.,November,2010,0.00791039179766,0.0329645550458
Portugal,November,2010,-0.00390143258591,0.0045960975585
Cyprus,November,2010,0.0234784330025,0.0413563885166
Austria,November,2010,-0.0041574403827,0.0274982783139
Japan,November,2010,0.0036085444108,0.0140888723162
Luxembourg,November,2010,-0.000328230460932,0.00598640743137
Ireland,November,2010,0.00677475800208,0.046147486337
USA (INS/DHS),November,2010,-0.0128126960963,0.0681744402357
Belgium,November,2010,0.0156424272014,0.0522144717688
Denmark,November,2010,-0.00412182661088,0.0224071138568
Poland,November,2010,0.00280182161238,0.0198326138949
Croatia,November,2010,0.0239040240751,0.0495297446193
Switzerland,November,2010,0.0150290701971,0.0378866407044
Italy,November,2010,-0.000557127495083,0.02904600162
Malta,November,2010,-0.00376736996134,0.0076750828636
United Kingdom of Great Britain and Northern Ireland,November,2010,-0.000705499734966,0.0551660711303
Greece,November,2010,-0.0133415806737,0.0376530092161
Rep. of Korea,November,2010,-0.00778321622778,0.0232368410256
Canada,February,2014,-0.0173411536572,0.139522680179
Montenegro,February,2014,-0.0109014836371,0.0143733415616
Lithuania,February,2014,-0.00110167301735,0.00659421908496
Serbia and Kosovo: S/RES/1244 (1999),February,2014,-0.000346523544298,0.0294802421915
Japan,February,2014,7.19293180978e-05,0.032665325124
Slovenia,February,2014,0.000733049163936,0.00186737264274
Germany,February,2014,0.0129040674415,0.103828386903
Spain,February,2014,-0.00226143216503,0.024815421146
Netherlands,February,2014,-0.00441935978971,0.0672476342753
New Zealand,February,2014,-0.000622952307111,0.0113260827802
Turkey,February,2014,0.00164329765514,0.0640041667968
