Country,Month,Year, Day/month/year, Average Policy Change, Standard Deviation
United Kingdom of Great Britain and Northern Ireland,October,2012,1/10/2012,-0.00285127889778, 0.0195118933618
Iceland,October,2012,1/10/2012,-0.000126594075492, 0.00100188274569
Denmark,October,2012,1/10/2012,-0.0022893710283, 0.00693604715337
Latvia,October,2012,1/10/2012,-0.00134461936955, 0.0028990802169
Greece,October,2012,1/10/2012,0.00593378896391, 0.0267957055081
Croatia,October,2012,1/10/2012,0.00180298701836, 0.00438126402993
Rep. of Korea,October,2012,1/10/2012,-0.00246276010981, 0.00692756088534
Canada,July,2001,1/7/2001,0.00744273168021, 0.0299799002754
Slovenia,July,2001,1/7/2001,-0.010436168993, 0.0263719274496
Germany,July,2001,1/7/2001,0.0105820655199, 0.0385890089422
Spain,July,2001,1/7/2001,0.00226814007152, 0.0359748426288
Netherlands,July,2001,1/7/2001,-0.016678673877, 0.0260052859623
New Zealand,July,2001,1/7/2001,-0.00108782375508, 0.00634044665827
France,July,2001,1/7/2001,0.00134818276255, 0.0230455753922
Slovakia,July,2001,1/7/2001,0.00384266784663, 0.00758922831898
Norway,July,2001,1/7/2001,0.0103080609626, 0.0260158931171
USA (EOIR),July,2001,1/7/2001,-9.75737687862e-05, 0.0228464665684
Finland,July,2001,1/7/2001,0.000554035423413, 0.00374117416755
Sweden,July,2001,1/7/2001,0.00213715026737, 0.0294736352705
Australia,July,2001,1/7/2001,-0.00733446483816, 0.0178926884304
Bulgaria,July,2001,1/7/2001,-0.00114076102935, 0.00355291739593
Romania,July,2001,1/7/2001,0.000803511028954, 0.00582553340255
Czech Rep.,July,2001,1/7/2001,0.00550463122779, 0.0275470178219
Portugal,July,2001,1/7/2001,-0.000251730421804, 0.00138187170002
Liechtenstein,July,2001,1/7/2001,0.00289041871289, 0.00351985654883
Austria,July,2001,1/7/2001,0.0120775762745, 0.0352350741161
Hungary,July,2001,1/7/2001,0.000146767188389, 0.0144026053784
Luxembourg,July,2001,1/7/2001,0.000138011911808, 0.00316687511834
Ireland,July,2001,1/7/2001,-0.000529992735877, 0.00826111152079
USA (INS/DHS),July,2001,1/7/2001,0.00766320643307, 0.0317352152589
Belgium,July,2001,1/7/2001,-0.0243537199267, 0.0369881816315
Poland,July,2001,1/7/2001,-0.00382325120629, 0.0128238613706
Switzerland,July,2001,1/7/2001,0.00480614607045, 0.0227630318942
Cyprus,July,2001,1/7/2001,0.00067713458021, 0.00248384126084
United Kingdom of Great Britain and Northern Ireland,July,2001,1/7/2001,-0.0102703961235, 0.0694232470458
Iceland,July,2001,1/7/2001,-0.000176085036899, 8.40304615178e-05
Denmark,July,2001,1/7/2001,0.000758915217417, 0.0111396685132
Greece,July,2001,1/7/2001,0.00105623189882, 0.0333068856412
Rep. of Korea,July,2001,1/7/2001,-0.000437530175033, 0.00264564127612
Canada,August,2006,1/8/2006,0.0189692807032, 0.0400880516398
Lithuania,August,2006,1/8/2006,0.00114873032468, 0.00169657331823
Slovenia,August,2006,1/8/2006,-0.000300399177648, 0.00288335668995
Germany,August,2006,1/8/2006,-0.00582279158973, 0.0412067676322
Spain,August,2006,1/8/2006,-0.00189769929224, 0.0173804993287
Netherlands,August,2006,1/8/2006,-0.0118092672394, 0.0323407112929
New Zealand,August,2006,1/8/2006,-0.000759736907583, 0.00188201535775
Turkey,August,2006,1/8/2006,0.0113569639375, 0.0266648743676
Hungary,August,2006,1/8/2006,0.00106564614019, 0.0064911856396
France,August,2006,1/8/2006,-0.0182789886477, 0.039643376155
Slovakia,August,2006,1/8/2006,0.0132398617862, 0.0634006286178
Norway,August,2006,1/8/2006,0.00186829015578, 0.0117012182447
USA (EOIR),August,2006,1/8/2006,-0.0065534222375, 0.0192151891691
Finland,August,2006,1/8/2006,-0.00129057376137, 0.00534130063117
Sweden,August,2006,1/8/2006,0.0141874791482, 0.0382590418811
Australia,August,2006,1/8/2006,0.000571882760962, 0.0129342282202
Romania,August,2006,1/8/2006,-0.00112873621043, 0.00219810276499
Czech Rep.,August,2006,1/8/2006,0.0285795458316, 0.128826771864
Portugal,August,2006,1/8/2006,0.000634034802896, 0.00259939354997
Liechtenstein,August,2006,1/8/2006,-0.000407659933545, 0.000410845275911
Austria,August,2006,1/8/2006,-0.0179250160084, 0.0234592183606
Japan,August,2006,1/8/2006,7.63506567552e-05, 0.000781777727998
Luxembourg,August,2006,1/8/2006,0.000503960295121, 0.00356604272968
Ireland,August,2006,1/8/2006,0.00309702077699, 0.0157272326621
USA (INS/DHS),August,2006,1/8/2006,-0.000570452188494, 0.0445446094205
Belgium,August,2006,1/8/2006,-0.00182949024292, 0.012929873457
Denmark,August,2006,1/8/2006,-0.00156767368218, 0.00489379892984
Poland,August,2006,1/8/2006,0.00242378676737, 0.00768278199528
Switzerland,August,2006,1/8/2006,0.00489619858519, 0.0108350787679
Cyprus,August,2006,1/8/2006,-0.0164720689237, 0.0189865329414
Malta,August,2006,1/8/2006,-0.000583158555785, 0.0141239862924
United Kingdom of Great Britain and Northern Ireland,August,2006,1/8/2006,-0.000656353746305, 0.0335964581722
Iceland,August,2006,1/8/2006,-0.000398266114265, 0.000441898582565
Greece,August,2006,1/8/2006,-0.0100559260263, 0.0254478556053
Rep. of Korea,August,2006,1/8/2006,0.00313721378982, 0.00647817397751
Canada,October,2001,1/10/2001,-0.00316862181965, 0.0279407388719
Slovenia,October,2001,1/10/2001,-0.00813475843562, 0.0213366533212
Germany,October,2001,1/10/2001,0.00972791195892, 0.0401197297182
Spain,October,2001,1/10/2001,0.00580550412008, 0.0392023183483
Netherlands,October,2001,1/10/2001,-0.00463046247914, 0.0207352414313
New Zealand,October,2001,1/10/2001,-0.000324030910764, 0.00420349985608
Turkey,October,2001,1/10/2001,0.00786782421566, 0.0282372627113
